1000 9940
191 215 63
574 163 -6
25 474 51
301 529 30
292 518 149
855 783 -33
654 708 39
235 205 52
768 743 76
284 496 125
647 376 -26
991 844 -9
818 331 -80
392 519 67
652 515 171
343 41 44
523 200 66
539 974 34
320 576 29
869 243 0
677 165 32
6 96 162
400 238 95
648 476 107
655 1 0
324 714 74
540 755 79
445 191 -53
59 742 103
290 226 118
918 910 50
147 513 57
231 28 -26
657 309 109
13 895 57
889 967 34
565 653 64
265 800 63
889 286 58
46 297 89
658 140 41
698 991 42
592 113 57
808 657 105
513 766 113
295 104 72
302 391 28
110 417 -17
627 613 140
9 467 86
50 915 36
628 118 -4
473 171 16
222 194 18
851 79 90
643 695 -37
999 307 -16
787 209 -66
440 199 61
407 45 109
970 31 112
1 869 38
919 303 79
572 490 -1
110 980 -31
119 332 64
562 92 52
699 213 -25
937 302 45
650 592 -2
68 0 15
801 419 -7
375 551 77
953 87 -2
202 682 72
761 882 31
816 634 155
463 752 -15
933 776 -1
938 673 93
907 966 6
473 779 62
386 299 42
677 419 75
501 745 23
834 666 50
842 899 9
973 922 75
104 205 52
296 935 14
161 932 -41
941 108 142
252 979 89
603 768 42
806 773 67
817 323 74
129 867 58
829 699 107
376 524 63
800 224 143
932 18 112
649 795 47
200 236 21
618 148 -32
729 710 -5
584 383 34
317 5 75
610 117 57
633 244 -42
813 139 15
694 976 65
622 184 -23
669 268 3
440 672 88
785 303 -63
828 503 145
108 213 -39
666 583 22
478 280 25
848 457 11
415 988 35
158 385 107
528 799 -64
71 869 63
986 714 -60
336 942 1
761 420 103
437 487 54
168 263 87
109 636 27
242 784 19
557 985 111
844 608 89
765 886 -39
853 854 10
313 283 1
418 828 65
698 709 60
422 350 89
748 220 157
370 993 55
264 553 47
367 493 146
65 392 6
624 211 50
848 976 67
896 519 94
408 510 90
770 831 -7
245 461 -6
114 166 61
720 478 5
691 947 -26
812 299 82
766 336 47
571 814 110
519 605 116
498 825 15
433 782 32
659 149 112
883 559 53
487 463 92
873 668 63
456 565 70
728 474 138
2 103 20
26 167 68
388 133 -38
446 467 34
377 711 55
899 247 91
119 293 99
296 306 8
483 449 15
5 71 35
64 237 77
402 955 5
482 349 25
421 240 -39
729 340 53
152 995 60
920 120 118
590 314 69
159 751 18
734 428 59
289 129 3
290 625 64
132 643 127
746 505 63
630 642 109
504 568 158
890 691 -6
548 429 73
601 725 95
3 764 80
411 903 -42
542 295 78
293 979 -9
410 479 73
235 154 95
55 9 37
667 22 33
839 647 43
133 831 45
417 542 155
580 745 0
819 753 46
171 271 50
187 681 -60
181 961 -13
852 97 10
850 335 99
576 166 -46
145 134 2
219 918 13
76 937 -15
107 366 96
986 347 86
726 91 53
262 766 10
500 651 52
61 473 78
99 953 53
321 235 -21
664 349 58
499 785 26
186 63 81
875 784 58
492 171 5
466 307 39
124 886 -15
659 293 92
605 659 -2
466 778 59
339 435 31
429 62 52
17 112 -3
487 666 126
229 713 8
283 867 107
975 548 50
764 505 -77
571 405 24
155 156 47
573 890 135
475 627 28
913 54 5
48 481 111
527 793 40
785 395 11
506 88 44
209 513 61
550 653 -14
908 897 27
847 401 -5
21 249 38
451 441 78
187 177 -58
362 776 -40
887 321 53
450 311 38
364 267 17
456 138 90
681 370 67
594 695 16
772 838 11
660 303 74
743 92 39
18 667 -23
178 373 41
70 580 21
802 385 50
972 296 85
858 852 62
93 8 90
825 557 40
311 129 -30
507 135 147
974 883 73
220 349 -31
156 283 69
81 48 68
620 849 35
804 434 10
627 584 108
234 96 62
32 898 84
659 938 81
531 962 5
744 16 44
810 629 32
806 639 36
822 329 145
488 888 54
223 513 -9
374 992 105
23 860 19
620 774 73
693 528 58
281 983 49
999 669 55
354 698 24
283 203 84
276 36 -37
783 999 58
512 606 123
132 119 40
739 111 86
471 500 57
186 189 -22
384 546 30
526 806 77
669 913 60
255 148 29
288 152 37
971 648 -9
983 803 118
49 260 6
744 321 44
27 741 -22
57 136 60
802 649 -13
636 519 -15
934 183 94
884 148 -6
45 282 78
46 257 86
558 100 52
144 364 95
697 492 104
980 204 97
942 275 96
189 237 96
839 663 111
397 774 5
857 879 73
425 635 73
994 53 116
683 406 5
913 593 57
542 78 -17
979 390 20
303 728 112
223 45 -1
676 338 47
335 546 54
376 692 31
318 108 74
69 123 83
986 20 -16
684 578 -36
939 871 -7
474 732 -41
911 363 79
33 874 15
122 647 62
942 759 132
946 24 38
754 240 -1
878 108 125
294 206 47
931 634 51
624 868 68
201 365 18
692 0 138
897 185 33
232 391 75
556 802 55
60 171 35
353 477 104
406 724 107
999 932 15
854 874 115
71 89 147
789 765 154
152 739 46
19 493 87
330 786 -21
215 800 -74
250 349 34
92 952 122
169 489 27
875 897 93
667 55 0
245 917 -20
746 362 104
146 724 16
966 281 -19
607 195 94
331 844 72
880 318 87
577 627 -36
788 332 52
739 944 83
650 30 113
646 869 -44
767 722 23
642 9 16
500 294 93
443 118 24
221 576 30
245 23 43
636 505 18
908 427 -33
139 831 62
939 350 118
451 795 108
923 522 30
90 415 43
143 129 -4
851 392 -5
933 973 -8
586 752 33
211 45 122
533 753 13
939 923 11
375 685 -28
267 244 105
819 490 3
218 38 74
181 674 18
546 537 61
5 116 -38
676 847 75
689 435 -9
421 957 -7
539 331 58
715 999 120
368 961 -76
498 485 9
776 658 99
460 748 -27
142 656 80
251 634 68
392 144 43
831 252 60
238 770 101
503 205 13
31 713 31
910 485 22
639 395 94
625 96 122
390 404 83
867 229 43
952 705 23
448 739 58
537 724 135
975 988 55
127 960 68
632 669 38
762 857 43
610 649 26
508 434 -9
246 634 75
303 476 144
354 890 159
423 891 54
906 185 -13
284 539 34
249 240 105
47 723 -4
462 447 57
813 873 25
12 218 9
16 334 69
351 906 93
877 782 28
740 416 7
349 125 67
249 494 81
20 455 106
105 861 76
652 463 115
962 291 80
720 58 58
710 933 149
993 960 52
17 957 35
275 230 -45
509 565 -4
280 251 22
298 86 79
280 576 60
908 507 21
741 372 66
124 578 14
218 353 12
638 982 88
271 479 -31
247 155 -13
637 373 60
71 685 97
993 241 77
514 789 21
154 309 130
186 772 30
516 204 41
427 455 79
632 160 26
540 452 13
955 399 79
459 9 37
44 108 60
585 244 -3
603 169 133
567 83 77
606 285 27
644 329 107
48 216 25
810 884 70
347 507 -2
996 86 -4
615 804 96
698 36 29
554 409 -19
868 352 73
360 807 7
430 97 22
480 477 52
516 598 124
366 491 -34
68 659 -23
236 473 5
762 626 23
980 702 60
125 12 165
75 919 7
715 408 74
385 356 40
149 174 35
184 563 42
481 920 24
272 342 39
640 779 46
611 415 11
142 468 6
833 383 54
335 265 -5
659 962 33
641 634 92
310 739 -12
986 564 87
393 402 34
823 679 21
409 296 68
14 304 139
594 138 11
278 105 50
992 683 6
509 580 34
192 518 29
312 102 89
669 629 32
7 184 -26
134 953 155
8 281 -1
463 621 -25
246 799 -64
859 994 102
599 350 81
623 674 -1
952 719 60
969 426 82
112 686 45
101 186 84
493 44 8
554 511 -26
198 822 -15
403 499 93
586 485 11
314 738 32
756 959 50
968 657 -4
220 188 -14
776 256 54
190 672 151
714 117 3
378 337 -8
188 711 102
180 852 57
680 302 69
897 944 86
111 746 77
345 24 13
963 771 105
783 704 120
133 362 88
866 337 107
985 931 162
919 553 27
776 235 72
390 146 129
336 51 28
414 85 146
59 217 -26
571 774 116
827 396 95
656 849 82
195 491 -27
16 69 -14
254 951 74
943 322 88
844 479 22
213 129 1
92 314 107
34 676 47
84 304 74
306 176 -2
306 878 -1
864 638 72
853 514 84
865 433 116
158 933 104
745 489 48
218 670 82
85 707 74
956 587 73
689 671 21
738 125 -55
153 127 -48
379 645 55
966 961 17
448 851 45
481 102 41
489 534 28
460 478 -56
183 748 63
990 384 42
17 996 52
735 712 19
707 672 46
402 810 80
538 690 79
884 194 12
698 401 98
345 941 21
425 874 49
601 635 21
584 443 -28
466 847 80
216 936 48
550 801 9
955 211 19
39 664 85
222 317 75
291 628 -46
34 971 59
55 731 71
410 568 78
963 131 20
580 142 2
477 372 39
704 424 -9
198 399 122
186 260 -17
101 106 59
49 689 75
289 978 -18
219 649 -52
499 20 -63
325 619 83
371 237 88
510 890 73
666 33 80
48 493 68
798 548 43
97 670 105
127 424 9
84 932 45
559 69 61
835 327 -5
454 733 104
930 49 -13
675 351 8
656 998 30
837 228 112
548 941 -13
225 61 90
996 135 111
807 855 -20
942 507 75
96 998 20
121 307 15
192 158 -29
959 154 33
354 823 152
296 869 6
353 79 65
672 632 51
819 967 65
182 66 -18
178 7 57
47 330 126
965 639 37
804 865 38
423 315 144
937 479 95
147 608 23
829 297 24
129 873 38
518 804 -38
148 224 74
964 573 91
576 661 30
890 580 -42
335 791 3
686 858 43
218 835 4
421 677 3
756 372 74
471 847 100
383 356 91
826 440 49
723 813 67
13 311 120
728 106 72
47 174 4
173 913 84
764 440 34
592 173 46
196 608 -18
943 655 98
672 42 -42
274 347 165
620 855 24
18 191 -14
974 79 89
58 546 85
602 657 27
753 275 43
877 44 15
577 199 54
502 889 47
14 536 143
725 932 -10
649 326 71
414 646 113
561 258 7
987 452 7
790 90 11
165 312 25
613 576 58
398 999 126
916 26 -7
228 733 68
814 795 88
528 152 -7
170 26 20
384 268 59
943 878 35
434 476 115
779 259 -34
861 840 81
323 129 62
898 900 41
245 273 34
933 109 24
265 434 30
447 326 53
699 319 76
341 236 147
757 443 38
158 184 108
390 652 63
161 641 -67
793 148 -63
168 747 72
276 253 -9
745 372 38
130 304 46
994 970 86
976 639 47
162 874 57
124 768 27
385 5 76
929 485 57
833 850 -13
3 114 20
934 476 123
567 748 51
189 198 87
991 501 119
888 53 111
589 624 18
642 243 -1
489 437 32
184 947 109
971 180 -43
712 256 -49
771 217 -60
345 801 -38
474 70 5
157 851 53
864 141 103
946 964 -75
168 781 117
663 552 73
1 136 80
542 773 4
773 182 35
966 625 96
800 501 100
832 687 49
927 252 41
969 687 17
713 642 67
809 973 -13
775 743 51
888 225 2
145 639 53
441 438 29
617 579 108
389 572 80
89 598 103
850 406 54
565 810 59
695 235 28
242 874 22
637 166 56
275 304 52
608 705 64
815 643 103
814 730 44
843 870 36
128 666 61
679 876 -23
142 787 113
856 882 83
991 965 63
987 263 50
772 755 114
346 814 39
834 177 -18
542 37 2
411 512 -52
269 12 93
489 740 78
988 909 89
567 530 3
883 236 95
86 805 49
840 511 3
123 406 29
864 297 92
5 659 -32
35 686 50
81 338 -13
192 835 31
639 993 4
228 379 103
196 760 -51
136 545 11
373 516 3
933 77 -26
226 606 45
947 858 32
932 940 112
582 186 54
640 191 2
896 719 71
509 907 4
313 907 74
569 624 5
801 34 114
975 914 10
660 39 27
16 966 54
556 380 88
447 210 120
797 678 8
346 92 9
353 101 55
256 301 49
857 448 111
396 866 -1
174 962 48
877 745 -13
472 595 -35
957 276 113
462 870 58
334 873 20
472 799 32
509 908 31
796 504 47
503 76 31
264 972 28
676 4 25
117 199 144
27 72 41
177 218 92
239 612 4
271 794 61
300 842 153
136 595 -35
281 901 49
341 909 59
442 15 -32
589 787 122
340 457 82
239 629 47
506 267 64
116 522 83
366 405 -21
772 136 23
54 59 96
950 587 30
722 844 -25
189 99 36
357 196 54
259 410 7
145 636 38
186 615 41
156 596 91
865 126 94
417 497 139
674 552 108
563 44 95
803 219 97
466 276 130
590 631 -9
796 173 54
626 54 86
68 418 30
282 247 -7
737 636 135
513 264 10
474 368 30
468 217 21
333 183 37
164 392 19
381 59 84
198 586 49
619 215 92
151 194 -16
294 832 58
201 576 80
42 267 12
212 942 25
343 330 93
829 465 97
482 529 33
453 981 -16
616 269 -4
415 916 136
680 730 43
87 819 84
58 642 91
338 901 106
358 818 140
585 563 134
645 463 21
202 791 61
555 47 29
690 114 80
933 775 0
287 103 -31
636 376 -5
473 109 9
514 807 120
833 212 17
578 107 97
961 312 85
442 877 61
346 176 -15
412 215 108
238 130 128
947 303 -29
1 488 5
58 33 118
576 948 110
620 121 122
648 811 18
15 987 118
611 855 22
823 710 2
408 66 105
853 949 -10
43 774 55
510 131 72
35 617 1
518 63 76
875 264 24
219 569 90
698 710 70
140 766 79
159 892 27
375 486 26
603 497 88
814 110 12
494 571 -35
209 227 80
814 961 -8
958 531 116
117 891 22
622 726 -14
660 604 123
435 455 13
119 144 100
662 60 37
378 537 -16
24 976 -4
399 644 6
979 190 41
605 34 81
381 822 54
909 893 96
637 859 103
266 331 3
225 945 63
327 854 56
965 692 -63
109 10 31
935 216 -14
569 437 -44
309 393 26
885 846 111
808 383 69
24 256 -42
882 599 86
953 167 -19
378 908 6
521 185 41
87 714 54
859 867 115
411 489 27
262 161 110
725 424 -51
76 889 15
719 113 15
956 47 51
640 42 -27
718 500 56
368 781 33
225 362 136
791 213 5
172 241 88
521 637 5
190 860 80
420 161 32
384 870 29
441 831 -55
22 854 39
413 279 -10
137 518 70
588 914 50
332 894 13
818 768 -2
460 279 -18
132 710 41
61 251 43
172 436 39
90 851 98
511 188 4
556 864 29
120 238 -5
362 503 85
443 637 74
404 464 76
406 267 60
938 406 16
285 403 83
361 229 80
724 467 89
83 338 -67
233 259 18
192 225 -34
494 270 -7
423 117 -17
740 690 46
996 242 24
147 665 59
375 730 71
191 465 55
781 437 57
170 274 -33
656 325 88
105 187 39
688 745 79
166 684 122
170 771 68
889 508 109
69 907 102
349 646 78
488 99 84
271 529 -8
363 674 103
985 871 83
800 68 141
490 521 20
401 179 79
171 260 69
424 102 113
866 516 70
623 112 79
764 245 -9
952 621 26
114 907 50
486 438 21
724 315 71
872 745 -58
901 666 18
59 530 12
839 771 128
656 938 -6
217 888 38
48 13 -6
827 411 111
291 754 34
312 798 73
767 695 -33
416 197 68
794 348 61
986 101 50
974 235 -25
860 254 31
799 55 53
763 136 -56
936 401 51
671 20 -22
454 943 0
606 88 -37
983 252 36
165 584 117
779 763 104
298 714 10
164 171 -4
323 957 25
144 56 24
610 166 60
711 112 68
873 51 101
860 118 12
861 91 -7
313 794 24
114 916 50
20 816 110
766 495 16
13 985 11
190 468 95
233 723 -7
460 402 6
932 989 67
406 196 155
897 146 65
825 868 -1
867 186 16
68 700 -2
255 887 101
514 753 75
324 101 71
7 43 -20
539 956 122
668 980 15
366 342 -16
313 533 73
625 141 129
762 317 22
666 912 72
764 829 14
371 305 65
426 399 77
161 53 61
652 608 51
730 344 109
688 584 95
690 438 126
486 289 49
68 793 45
757 740 21
711 672 19
438 7 29
857 482 -9
842 819 34
654 722 9
760 693 96
551 218 21
213 407 56
472 668 0
757 694 118
410 368 83
1 257 22
194 254 54
416 345 131
60 988 72
553 659 -6
226 223 90
92 18 130
721 263 90
743 143 61
275 172 41
635 84 112
987 221 -11
212 962 -30
940 302 10
640 941 88
484 952 118
238 773 75
725 718 91
387 448 80
226 164 20
744 677 -40
7 297 -10
957 478 -48
607 365 66
850 177 17
132 500 94
752 775 80
828 410 62
457 518 112
366 246 109
422 883 55
52 853 9
809 947 -2
766 385 53
646 796 -5
730 606 12
772 260 -16
783 780 27
323 953 88
913 965 42
635 124 70
364 991 15
156 635 -2
108 165 28
308 907 84
501 786 21
922 960 9
711 69 -52
457 268 98
109 137 42
603 190 55
770 551 50
461 544 115
676 765 122
518 413 -31
229 875 -2
431 647 8
199 181 76
178 463 42
592 232 109
573 950 48
772 48 48
944 754 52
850 375 143
883 997 122
377 611 90
166 176 82
854 747 38
210 594 20
900 600 -54
102 217 -16
697 421 156
461 812 15
841 672 33
464 456 110
556 16 -6
580 697 2
248 87 -24
811 233 21
557 730 120
518 211 -66
441 840 31
404 649 97
163 594 146
394 380 98
253 955 59
476 636 37
317 810 9
372 974 1
45 31 59
397 7 -9
144 948 135
265 861 101
823 769 -41
546 934 31
794 238 52
293 819 27
734 948 106
958 178 128
653 420 146
96 544 -4
810 825 33
718 760 60
109 702 68
863 35 56
89 433 -21
689 211 27
876 987 53
200 731 57
246 179 -54
746 458 -17
704 134 -6
475 654 43
625 601 -35
954 912 53
562 96 186
402 364 66
526 759 63
469 464 3
644 759 22
535 358 21
365 874 116
688 115 77
29 275 57
593 858 -9
808 935 59
370 201 116
805 875 37
619 861 23
304 292 26
265 419 33
657 751 9
350 239 32
347 387 18
253 888 85
810 761 36
423 303 74
202 155 19
337 78 95
555 544 56
894 571 -9
576 813 -13
50 97 32
353 517 32
437 392 -19
742 666 11
27 982 122
805 731 66
114 801 35
817 534 63
693 246 63
84 241 98
475 692 -9
381 330 159
61 557 14
828 30 118
542 889 -25
496 49 -29
931 883 48
707 381 10
759 571 69
825 70 57
494 291 76
841 853 31
971 880 38
602 197 14
441 698 -17
421 751 7
270 340 24
284 596 117
232 257 39
196 527 74
118 289 77
42 800 100
11 375 124
709 832 61
510 35 102
775 526 17
359 299 139
661 473 -4
334 623 2
312 972 76
988 292 9
419 591 107
526 231 136
406 988 85
273 304 -9
668 835 91
854 387 69
715 593 82
648 44 43
146 44 36
856 581 -39
515 591 44
609 92 -23
701 555 134
471 744 153
599 847 84
506 290 105
732 989 27
579 622 98
317 42 -47
77 914 68
222 43 50
432 16 -7
215 344 91
776 722 107
665 150 45
572 970 73
559 616 135
839 163 49
842 697 18
580 669 105
170 318 27
391 492 -8
179 469 145
991 137 47
33 135 26
752 105 11
283 598 89
471 765 180
309 686 -40
672 154 -4
242 17 105
82 700 72
865 90 -1
505 534 61
740 687 116
433 94 114
641 589 76
330 335 44
510 143 112
718 220 94
565 667 27
741 890 121
416 574 82
954 550 84
768 267 10
260 120 138
921 880 47
133 118 41
741 468 64
210 719 58
662 551 87
428 598 112
322 694 48
236 393 12
824 801 51
145 774 -35
834 150 19
198 258 109
418 201 92
345 653 -39
998 463 150
625 673 80
461 60 42
779 527 44
272 987 -10
66 668 2
794 334 72
647 257 56
325 997 68
350 641 12
627 673 103
309 745 -40
538 574 82
734 676 45
297 537 30
562 20 72
279 13 1
826 816 4
767 608 14
431 896 -32
288 762 93
86 811 43
345 598 27
445 549 46
802 722 34
126 84 53
186 935 56
30 253 -77
544 928 110
73 674 -31
694 401 -7
52 509 18
900 907 48
344 912 94
573 831 47
609 549 90
250 91 45
503 797 28
430 953 72
511 552 130
215 469 72
770 428 -8
203 805 14
901 938 30
969 812 -2
451 850 40
892 389 -4
94 485 5
786 209 100
241 269 55
346 941 43
737 307 101
800 986 67
113 121 64
156 633 107
182 24 64
732 929 5
479 968 86
783 365 89
659 695 52
734 857 22
676 131 99
942 930 53
139 89 70
103 922 121
414 270 10
857 93 105
123 623 65
221 822 43
739 450 90
902 186 -17
897 17 72
228 89 154
453 770 -13
468 784 71
205 307 60
102 327 67
612 747 22
984 156 18
310 59 51
300 190 44
829 365 -8
714 647 88
726 744 82
81 927 61
817 237 48
476 267 -48
118 154 117
79 177 -8
981 856 106
16 195 95
294 18 62
47 235 -11
554 635 4
695 670 120
95 19 84
999 447 -36
706 974 -55
197 270 96
84 596 75
581 389 80
408 118 7
242 283 80
902 170 24
361 667 12
936 833 81
773 600 -63
212 558 -29
558 883 105
375 923 35
26 827 81
495 482 86
516 547 123
210 902 52
679 147 13
793 738 14
880 698 -1
574 159 104
704 627 1
297 146 63
582 112 10
291 308 17
510 720 34
622 595 8
113 694 105
276 692 18
124 863 110
894 55 -21
701 202 83
815 210 153
483 539 -30
903 701 35
730 378 68
677 77 68
920 503 74
453 885 -24
617 149 110
775 629 10
563 647 79
668 745 91
347 930 -42
984 653 -74
18 673 23
194 581 12
584 766 34
926 66 66
896 178 164
476 523 49
115 12 144
197 180 48
677 19 8
983 310 72
984 856 -39
510 699 60
233 292 84
892 503 18
712 613 32
133 122 55
856 273 44
35 938 -12
274 713 46
648 768 56
802 579 -67
125 998 94
901 933 123
840 824 7
707 984 87
886 847 109
483 426 45
900 200 58
549 29 -4
545 765 93
649 143 135
248 130 44
272 294 -15
997 865 -19
73 588 7
897 539 -10
531 624 -13
135 524 29
249 453 147
321 54 9
614 957 77
999 521 -1
431 398 12
681 872 93
601 265 85
651 613 0
46 925 66
950 752 38
46 663 86
32 499 79
248 207 39
879 509 76
758 814 57
44 896 36
273 353 46
554 903 -4
205 24 100
552 321 -4
6 910 56
97 755 54
832 117 -28
88 468 49
557 320 94
910 230 -29
936 590 132
927 981 -34
47 448 32
892 641 41
271 330 127
775 542 66
580 269 33
93 831 43
389 845 43
440 910 51
323 962 37
145 54 -5
297 728 61
416 629 79
326 194 89
700 381 -18
936 825 65
191 229 117
917 238 84
398 628 72
798 468 71
360 800 1
135 867 32
669 64 15
758 373 -38
700 52 79
177 133 100
558 152 86
510 882 41
418 165 107
412 817 107
725 329 43
68 373 -11
516 915 146
598 307 18
567 957 69
410 595 38
527 705 -8
8 19 -2
453 889 -10
506 335 100
588 767 97
350 479 -51
236 858 39
579 893 87
609 719 85
35 342 -29
268 213 60
758 651 109
157 712 88
101 985 89
187 935 4
231 151 80
578 973 54
194 974 55
598 301 45
202 186 97
505 320 83
971 181 49
920 153 123
24 251 50
502 56 32
529 907 102
377 788 81
50 930 7
196 100 -55
374 575 29
355 511 3
13 454 75
770 444 64
679 536 58
279 908 98
515 726 24
382 778 10
649 589 103
650 122 4
481 953 49
431 937 -52
547 186 0
615 399 96
173 996 116
69 436 47
530 505 66
619 303 -18
403 291 61
80 793 106
950 879 102
458 670 86
488 225 40
183 65 35
927 64 55
230 516 13
202 677 44
818 353 14
280 347 106
530 423 96
407 728 32
411 304 37
414 484 26
115 152 43
588 893 58
831 901 89
185 210 90
701 453 134
686 690 34
977 525 41
859 834 102
877 361 17
892 570 101
895 67 66
132 722 43
504 719 55
830 676 55
839 706 92
165 642 -12
24 1 38
833 119 20
789 304 75
101 344 103
600 577 59
328 188 31
573 346 116
842 988 -37
905 813 9
868 457 15
978 646 133
580 162 80
944 340 -61
639 475 36
815 907 81
835 72 24
914 709 84
799 711 83
347 754 -15
154 709 39
708 219 19
625 155 -23
538 55 64
73 688 -40
608 256 2
924 803 87
473 848 17
993 887 163
415 715 50
77 339 75
339 214 39
168 24 156
779 552 108
147 858 28
356 890 148
529 631 86
300 605 114
346 663 66
53 991 40
540 684 99
575 289 112
173 149 149
873 347 147
33 172 56
494 539 37
416 444 94
743 401 65
377 41 10
430 739 32
625 549 43
22 828 -6
774 533 100
632 452 91
787 8 -1
609 653 -7
469 997 44
768 492 48
315 361 -2
926 967 -39
994 601 25
607 196 94
876 519 108
525 0 81
710 649 8
796 875 55
427 600 24
461 985 47
458 282 68
293 119 23
608 859 20
388 688 -10
637 778 99
81 12 145
398 539 41
400 837 21
650 225 29
179 466 77
677 784 -9
49 908 73
90 473 85
504 28 38
476 737 18
972 485 57
435 914 4
35 435 30
569 909 -13
524 450 34
5 41 37
591 318 90
581 142 102
675 220 156
539 443 -9
409 238 51
900 469 43
616 922 -3
749 400 26
267 284 38
354 644 129
293 453 121
564 702 36
560 859 2
465 356 26
937 523 94
576 607 49
507 592 66
553 168 81
155 198 47
492 364 76
470 760 -10
591 523 46
574 400 61
635 633 105
504 471 46
714 532 57
213 735 77
890 852 -9
754 356 16
503 275 54
867 242 28
717 724 36
589 564 90
263 215 32
361 713 -27
815 346 101
104 560 88
311 799 -24
928 991 9
225 882 71
811 359 36
589 883 46
686 491 3
907 578 15
102 673 73
638 75 93
506 390 50
131 806 8
329 512 -9
545 966 134
846 476 16
423 483 104
176 102 13
993 415 20
568 864 -24
412 895 114
13 850 88
926 413 81
412 719 78
856 338 14
746 115 -6
439 744 146
372 583 -3
122 99 53
595 143 160
478 691 96
854 841 89
104 461 -19
485 262 85
264 453 70
251 303 -12
880 619 79
431 425 46
387 47 27
153 537 -37
30 487 -4
874 858 24
470 631 44
625 702 76
269 842 108
184 368 73
297 343 97
90 705 39
463 780 27
375 759 5
444 870 18
628 614 46
767 560 7
184 672 79
539 90 84
354 0 142
315 57 -3
616 579 -44
316 636 17
955 923 13
729 271 43
763 702 -17
95 223 115
71 496 74
333 334 58
